Bytes,Base BA,Base Pred.,Appended BA,Appended Pred.,New BA,New Pred.
1000,0.9833333492279053,0.14317076,0.9083333611488342,0.7563939,0.980555534362793,0.25609636
1000,0.9888888597488403,0.079162106,0.9611111283302307,0.3050295,0.9944444298744202,0.2089227
11000,0.9944444298744202,0.2799706,0.9833333492279053,0.48378778,0.9916666746139526,0.07791692
21000,0.9888888597488403,0.05155035,0.9277777671813965,0.3753233,0.9888888597488403,0.1207192
31000,0.9944444298744202,0.08807315,0.9416666626930237,0.36361143,0.9888888597488403,0.12807491
41000,0.980555534362793,0.20550986,0.8888888955116272,0.9043397,0.9861111044883728,0.2604963
51000,0.980555534362793,0.09575589,0.9694444537162781,0.34014177,0.980555534362793,0.13438758
61000,0.9916666746139526,0.15874657,0.9555555582046509,0.57535344,0.9944444298744202,0.042202115
71000,0.980555534362793,0.14052208,0.9750000238418579,0.47011164,0.9833333492279053,0.13196403
81000,0.9916666746139526,0.044563,0.8388888835906982,0.7177314,0.9944444298744202,0.16472882
91000,0.9916666746139526,0.09160962,0.9555555582046509,0.26842272,0.9888888597488403,0.16392712
101000,0.9916666746139526,0.08561697,0.9833333492279053,0.25871688,0.9861111044883728,0.31143466

