85,0,10,1,0,1,2,2,3,2,3,1,0,0,0,2,1,3,2,1,2,1,2,3,0,0,1,3,0,0,1,0,0,0,3,1,3,2,1,3,2,3,2,2,1,2,2,3,0,1,3,3,1,3,0,0,3,1,3,0,2,0,2,1,2,3,3,1,1,1,2,3,0,2,3,2,0,1,3,2,3,0,2,0,0,0,3,3,2,2,1,1,1,0,0,0,3,2,3,0,3,3,3,1,3,3,2,2,3,1,1,1,2,1,1,2,1,0,0,3,1,1,2,2,2,0,0,2,0,0,1,N\A,1
86,11,15,2,1,0,3,3,3,2,3,0,1,0,0,0,0,3,0,0,2,1,3,3,0,3,0,2,2,1,3,1,2,2,1,2,3,2,1,2,0,3,0,2,0,0,3,2,0,1,3,2,1,3,2,0,1,3,1,0,1,1,1,1,2,3,0,3,0,1,2,1,2,2,0,1,1,0,1,0,1,0,0,0,1,1,0,1,3,0,1,1,3,3,2,2,3,1,3,3,3,3,0,1,3,3,3,3,2,2,2,1,2,0,1,1,0,2,2,0,2,0,3,2,3,2,2,3,2,1,2,N\A,1
4,3,10,2,0,1,2,2,3,2,0,2,0,0,1,3,0,3,2,1,1,2,2,3,0,2,1,3,1,0,1,1,1,1,3,2,3,1,3,2,3,2,3,1,1,3,2,2,1,1,3,1,0,1,0,0,3,0,3,0,2,0,3,0,3,0,3,2,3,0,0,3,0,0,3,3,2,3,3,1,3,0,0,0,0,0,3,3,1,3,2,0,1,2,2,1,0,1,3,1,2,1,0,1,2,2,1,3,0,2,2,2,1,2,1,2,2,2,0,3,1,0,3,2,2,1,2,1,0,0,1,N\A,1
18,12,4,1,1,1,0,2,3,2,3,3,1,0,1,1,1,3,3,2,1,3,3,3,0,0,0,3,1,0,0,2,0,2,3,0,3,3,3,3,1,3,3,0,0,2,2,3,3,1,3,1,0,1,0,0,3,0,3,2,3,0,3,2,1,2,2,1,2,0,0,3,1,0,3,2,2,2,3,2,3,1,3,0,1,1,3,1,1,3,2,0,0,1,0,2,0,1,1,2,2,2,0,0,2,3,0,1,0,0,1,0,2,2,1,1,2,1,1,3,2,2,2,2,2,2,1,1,0,0,2,N\A,1
243,3,12,2,0,2,3,2,3,2,1,1,0,0,2,1,0,2,2,0,1,2,3,3,0,0,1,3,1,0,2,0,0,3,2,1,3,1,3,3,3,1,3,0,0,3,2,2,0,0,3,1,1,2,1,0,3,0,3,0,3,1,2,1,2,1,3,2,3,0,0,3,0,0,3,3,1,3,3,2,3,1,2,0,1,0,3,2,1,1,0,0,1,2,0,0,1,1,2,0,3,2,0,2,2,2,2,3,0,2,2,1,1,2,1,3,2,1,0,3,1,1,3,2,3,1,2,1,0,0,1,N\A,1
178,0,10,3,1,0,2,2,3,3,1,1,0,0,2,2,0,2,3,1,1,2,3,3,0,3,0,2,0,1,0,2,0,0,3,0,3,3,2,1,2,1,3,2,1,3,3,2,0,2,3,0,1,1,0,0,3,0,3,2,2,0,2,1,1,1,3,2,3,1,0,3,2,1,3,3,2,2,2,2,2,0,3,0,0,1,3,3,0,2,1,1,0,2,0,0,1,0,3,1,3,0,0,1,1,3,3,0,0,3,2,1,2,1,1,3,2,2,2,3,2,0,1,1,1,2,2,0,1,0,1,N\A,1
130,13,6,1,0,2,0,3,3,0,1,2,0,2,0,3,0,3,2,0,3,3,3,3,0,2,1,3,1,0,1,2,2,0,3,1,3,2,0,3,3,2,2,2,0,2,2,1,0,1,3,2,1,3,1,0,3,0,3,0,3,2,2,1,0,3,1,2,1,0,1,2,2,1,3,2,0,2,3,1,1,0,3,0,2,1,3,2,2,0,2,0,2,2,1,1,1,0,3,1,2,1,1,0,1,2,3,3,0,0,3,0,3,3,1,2,1,2,1,2,1,0,3,0,1,2,3,1,0,0,1,N\A,1
85,15,8,1,0,1,3,2,3,2,3,1,0,0,1,3,0,3,2,1,2,1,2,3,0,0,1,3,0,0,1,0,0,1,2,1,3,1,1,3,2,3,2,2,1,2,2,3,0,1,3,3,2,3,0,0,3,1,3,0,2,0,2,1,2,3,3,1,1,2,2,3,0,2,3,2,0,1,3,2,3,0,2,0,0,1,3,2,3,1,1,1,1,0,0,0,3,2,3,0,2,3,3,1,3,3,2,2,3,1,1,0,2,1,1,2,0,0,0,3,1,1,2,2,2,0,0,2,0,0,1,N\A,1
82,12,4,1,3,0,0,1,3,2,2,2,0,1,0,3,0,0,0,1,1,3,2,3,1,0,0,2,0,2,3,0,0,2,2,2,3,1,1,1,3,3,1,3,2,1,3,2,1,0,2,3,0,2,0,0,1,0,3,2,1,1,1,2,2,3,1,1,3,0,3,2,2,3,3,1,0,2,2,0,2,1,3,0,0,0,3,2,3,1,2,0,0,1,0,2,3,0,3,3,0,3,0,0,1,1,3,2,3,2,0,3,1,3,2,1,3,2,0,3,2,0,3,1,1,2,2,0,1,2,0,N\A,1
181,9,6,2,0,3,0,3,3,2,1,2,1,2,0,1,1,1,3,1,2,3,2,3,0,0,3,3,3,1,2,3,3,0,3,3,3,2,0,3,3,2,2,0,1,2,0,2,1,0,1,3,0,3,2,1,3,0,2,0,2,0,2,0,0,3,3,2,2,1,2,1,2,1,3,3,1,2,2,0,1,2,0,0,3,1,2,2,1,1,1,0,3,1,0,2,1,1,2,0,3,1,0,0,3,2,3,3,0,0,0,3,3,1,1,1,2,0,2,2,1,0,3,2,1,0,1,0,1,0,1,N\A,1
18,12,5,2,0,2,1,3,3,1,3,0,1,2,1,2,2,1,3,2,3,3,3,3,0,0,1,3,1,2,0,1,3,0,1,3,3,2,2,3,2,1,3,1,0,2,2,0,0,2,3,1,1,3,2,0,3,0,3,0,3,0,0,2,0,2,2,2,1,2,2,2,3,1,3,3,0,2,3,1,0,0,3,0,2,0,2,1,1,0,2,0,1,2,0,1,0,1,1,0,1,2,0,1,3,3,3,2,0,0,1,3,3,1,1,1,0,2,2,2,1,1,3,0,1,2,2,0,0,2,0,N\A,1
