index,BasePred,5%,10%,20%
0,0.02376038208603859,0.9808769,0.9962426,0.99914515
1,0.001088466844521463,0.018699752,0.03729563,0.081414014
2,0.0012707748683169484,0.02786086,0.056659665,0.09303418
3,0.00331670418381691,0.012077658,0.012127588,0.033813972
4,0.00011295334115857258,0.0010474051,0.0022575455,0.010344162
5,0.019623706117272377,0.18509544,0.3501574,0.5255051
6,0.0027405014261603355,0.017990405,0.016696395,0.1133599
7,0.002068327507004142,0.029746516,0.029421661,0.055973597
8,0.0041528427973389626,0.014408871,0.027397128,0.07069609
9,0.022397207096219063,0.050569415,0.1317251,0.17639466
10,0.011226342059671879,0.9307131,0.9576256,0.9878728
11,0.00451267883181572,0.009954119,0.01653182,0.03230698
12,0.10958454012870789,0.85597324,0.9288805,0.98826146
13,0.008458666503429413,0.089848146,0.12225852,0.28314003
14,0.013350517489016056,0.21323343,0.40249774,0.48135868
15,0.009122430346906185,0.059255984,0.14825326,0.2055619
16,0.002946717431768775,0.029046055,0.051378362,0.09228867
17,0.0004462694050744176,0.0037343928,0.01560371,0.020242987
18,0.00020603805023711175,0.0018380248,0.0061230194,0.016795723
19,0.32220005989074707,0.42368737,0.4805606,0.5780883
20,0.0003147540846839547,0.0026547126,0.008840647,0.032548636
21,0.006784701719880104,0.7932305,0.8713801,0.99744135
22,0.6720554232597351,0.9985857,0.9998137,0.9999764
23,0.0049333954229950905,0.024469964,0.034624133,0.071296915
24,0.0027682434301823378,0.015110362,0.015519173,0.039471306
25,0.013002822175621986,0.10798281,0.24504615,0.2975217
26,0.0007441728957928717,0.017935745,0.032688856,0.045738973
27,0.01215176098048687,0.94838846,0.9894939,0.9998541
28,0.0003713016922120005,0.0035835481,0.006896065,0.020845776
29,0.0011187051422894,0.015963946,0.022131568,0.029363299
30,0.2797490358352661,0.72427166,0.7673053,0.9215602
31,0.028619596734642982,0.87927294,0.9656155,0.9996915
32,0.005575994960963726,0.026721295,0.04776962,0.115306355
33,0.022626902908086777,0.9592436,0.9897647,0.9987485
34,0.002649553120136261,0.07318378,0.13714941,0.20429736
35,0.004087456036359072,0.87961376,0.93567204,0.99684507
36,0.004697458352893591,0.016194513,0.014026431,0.10906956
37,0.0016730105271562934,0.014546313,0.029332474,0.049126502
38,0.0013095876201987267,0.01953966,0.022208923,0.06002227
39,0.0020091829355806112,0.024884054,0.04208025,0.082079336
40,0.0014679576270282269,0.04851308,0.08219792,0.39195406
41,0.00040587878902442753,0.0030315123,0.0036991902,0.0061652744
42,0.004817598965018988,0.021635897,0.043583877,0.08083738
43,0.0011488189920783043,0.036693055,0.0610138,0.12033003
44,0.001241730060428381,0.005839365,0.010068629,0.019658033
45,0.011435073800384998,0.11128954,0.16111957,0.29625556
46,0.002758293878287077,0.014352557,0.013950815,0.05643334
47,0.0016986196860671043,0.03317394,0.086946234,0.123789944
