20,3,11,0,0,1,2,3,1,3,3,0,0,1,0,0,0,3,3,3,3,3,3,3,0,1,0,3,2,3,3,3,0,3,0,0,3,0,1,3,0,2,1,0,2,2,2,3,0,0,3,1,3,0,3,1,1,3,0,3,2,3,1,1,1,1,0,1,2,1,3,0,2,0,2,2,1,1,0,1,2,0,2,2,2,2,1,2,2,1,1,2,2,2,0,2,0,2,3,2,0,2,1,1,3,1,1,1,0,2,2,2,2,1,0,3,3,1,1,2,2,3,1,1,3,1,0,2,0,3,0,4534513464cbdceb8d82c2aceddfb71ead0562bb1d5e7ee953cdb2e612f82971,1
98,14,8,0,0,0,3,3,2,2,2,2,0,1,0,3,3,3,0,1,1,2,3,3,0,0,0,3,2,2,2,0,0,3,3,1,3,2,0,1,0,1,1,2,2,2,3,2,0,1,3,0,0,0,3,2,1,1,1,1,2,2,2,3,1,3,1,2,1,0,1,3,2,2,3,2,2,0,3,0,0,0,3,2,1,3,3,0,2,0,2,0,3,3,0,3,1,1,1,1,1,3,0,0,3,2,3,1,2,1,3,1,2,0,0,2,2,0,0,1,2,1,1,0,3,1,1,2,2,3,0,144d01fbb64b417413f93ea2412c5b0686e4b725f828b85f25c962c247df7d61,1
33,10,11,1,2,2,3,1,3,1,2,0,1,1,1,3,3,3,0,0,2,3,0,3,3,0,0,2,2,2,2,2,1,0,2,3,3,2,1,3,0,2,0,2,2,0,3,3,0,2,3,0,1,0,0,0,2,0,3,3,3,3,0,1,3,0,1,3,1,1,0,1,0,2,1,2,0,0,3,1,1,1,3,0,0,1,2,3,2,0,2,0,2,3,1,2,3,0,0,1,1,0,1,1,1,1,1,0,0,2,2,0,2,1,3,3,1,1,2,3,0,3,3,2,2,3,2,2,0,0,0,dc54be9efb25f88dfeab8d54afcf0da7bd4cad3a5b780d9000314f4995f768bc,1
180,6,12,1,1,0,3,3,2,3,3,1,1,1,0,0,1,3,3,3,2,2,3,3,0,2,0,3,2,2,3,3,0,3,0,0,3,0,1,0,1,2,3,0,2,3,1,2,0,0,2,1,1,0,3,0,2,2,0,3,2,3,1,3,0,3,0,3,2,2,3,0,1,0,2,3,1,2,1,1,2,0,2,0,3,1,1,2,1,1,0,2,3,3,0,3,0,2,1,2,0,2,0,1,3,1,2,1,0,2,2,1,0,1,1,3,2,1,1,2,2,3,2,0,3,1,0,1,1,2,0,081b7512d15d98051aa2db459aac282298519e7ebe58ad636607d999194c8540,1
114,13,4,1,2,1,2,0,2,2,2,1,1,0,2,3,0,3,0,3,2,1,1,3,0,1,1,3,1,3,3,2,1,0,3,0,3,3,1,1,2,3,3,1,2,1,3,2,0,3,3,0,2,0,1,3,2,2,3,3,3,2,2,0,1,0,0,0,2,0,1,2,2,3,3,1,1,0,1,0,0,1,1,3,0,1,3,2,3,0,0,0,2,2,0,3,1,1,2,0,1,2,0,0,1,3,2,0,0,0,2,2,2,1,1,2,2,0,2,3,1,0,2,2,3,1,3,3,3,1,0,6b648d29658ea5cd0656313581ac41f7a20c514cf138006a1e6de71f2d0acaaa,1
179,14,5,1,2,2,3,1,2,2,3,1,2,0,0,3,2,3,3,0,2,2,1,3,3,1,1,2,3,2,2,3,0,0,3,0,3,0,0,2,1,2,2,3,3,1,3,0,0,3,3,1,1,0,0,2,1,1,3,2,2,1,1,0,3,0,3,3,2,0,3,0,2,1,3,2,1,0,2,1,1,2,1,0,0,1,1,2,2,0,1,1,2,3,0,3,1,1,2,0,0,2,0,0,1,3,3,0,2,0,1,0,3,1,0,3,2,1,2,1,1,0,0,3,3,2,3,3,2,1,0,76c9030559fb9ef31833db3edb7bc12520003851d4bb178d2b1b1e74de28e0ec,1
161,4,2,0,2,3,1,2,3,0,3,2,1,0,0,3,2,2,3,0,3,1,3,3,2,3,0,1,1,2,0,2,1,0,2,0,3,1,1,0,0,2,0,3,3,2,3,3,0,1,3,1,1,1,0,0,3,0,3,2,3,1,1,2,3,2,2,2,0,1,1,2,2,2,3,2,0,0,0,2,1,0,3,0,0,1,3,2,2,0,1,0,0,1,0,3,3,1,1,1,0,1,0,0,2,3,1,0,0,0,2,1,3,1,1,2,0,0,2,3,2,0,3,2,1,3,3,1,3,3,2,f4f420b8d9b5e77fde5e11e42684fa5b3ed546f68c632c920fd622f17c2bcbec,1
178,8,3,1,0,2,3,3,2,2,3,0,0,0,1,0,1,3,1,2,3,2,3,3,2,1,1,1,0,2,3,3,0,3,1,0,3,1,2,0,0,2,2,2,2,3,2,2,0,1,2,0,1,0,2,0,3,1,1,3,1,3,3,2,2,1,1,1,1,1,3,1,3,0,1,2,1,0,0,0,3,1,3,1,3,2,2,0,2,1,3,0,3,3,0,2,3,2,2,1,0,2,0,0,3,2,2,0,0,1,1,3,1,2,1,2,0,0,0,3,2,3,2,0,3,2,1,1,2,0,0,6b4ae6610ca61d82022c9dafc4c6e4eca652aa91c61d6ad6bd765094c8257577,1
148,4,1,0,3,2,3,2,2,3,3,0,2,1,2,3,2,2,3,1,1,1,2,3,0,0,1,2,3,3,0,1,0,0,3,1,3,1,1,2,0,1,1,3,3,2,1,1,3,2,0,0,3,2,0,3,0,0,3,0,1,1,3,1,2,0,2,0,1,2,1,0,1,2,3,1,1,0,1,2,2,2,1,1,0,0,1,3,2,1,2,3,1,2,1,3,1,0,3,0,3,3,0,3,2,2,2,0,3,1,2,0,1,0,1,3,0,2,0,3,0,0,2,3,3,3,2,2,2,0,0,0d31d776aa356e879b8f215595449375ef915567049d27900d8530d99c2bec60,1
242,8,5,0,2,2,2,1,1,2,2,0,1,0,2,2,1,3,3,3,3,2,2,3,3,0,1,2,2,2,1,3,0,0,2,1,3,1,1,1,0,2,3,3,3,0,3,3,0,2,1,0,2,0,0,3,0,1,2,3,1,1,1,0,2,0,1,3,3,0,2,0,1,2,3,3,2,0,1,1,0,2,1,1,0,1,2,3,2,1,1,0,2,3,0,3,2,1,3,0,1,3,1,0,1,3,1,0,2,1,1,0,3,0,0,2,2,1,3,3,0,0,3,3,3,2,3,2,2,0,0,2e00b09688fb5e29b1a05744b73e0fc7d8bda1c60885e379efccb23e6c5f0395,1
